LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARNKA1022GDO.3     8018138175967Angolo esterno 21x10 BIANCO P. (2p)        00020000200002099999940000000012000000000120000001EURPCE0320130301                  28                
ARNKA1030.3        8018138142655Angolo esterno 30x10 BIANCO PURO           00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKA1030.6        8018138104226Angolo esterno 30x10 BIANCO                00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKA1030GDO.3     8018138175974Angolo esterno 30x10 BIANCO P. (2p)        00010000100001099999940000000015800000000158000001EURPCE0320130301                  28                
ARNKA1515.3        8018138170443Angolo esterno 15x15 BIANCO PURO           00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKA1515GDO.3     8018138179545Angolo esterno 15x15 BIANCO P. (2p)        00020000200002099999940000000018100000000181000001EURPCE0320130301                  28                
ARNKA1818.3        8018138142631Angolo esterno 18x18 BIANCO PURO           00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKA1818.6        8018138104264Angolo esterno 18x18 BIANCO                00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKA1825.3        8018138166903Angolo esterno 25x18 BIANCO PURO           00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKA1825.6        8018138165494Angolo esterno 25x18 BIANCO                00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKA1825GDO.3     8018138175981Angolo esterno 25x18 BIANCO P. (2p)        00020000200002099999940000000018900000000189000001EURPCE0320130301                  28                
ARNKA1830.3        8018138142662Angolo esterno 30x18 BIANCO PURO           00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKA1830.5        8018138104295Angolo esterno 30x18 MARRONE               00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKA1830.52       8018138175998Angolo esterno 30x18 LEGNO SCURO           00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKA1830.53       8018138176001Angolo esterno 30x18 LEGNO CHIARO          00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKA1830.6        8018138104301Angolo esterno 30x18 BIANCO                00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKA1830GDO.3     8018138179620Angolo esterno 30x18 BIANCO P. (2p)        00020000200002099999940000000020000000000200000001EURPCE0320130301                  28                
ARNKA1840.3        8018138145472Angolo esterno 40x18 BIANCO PURO           00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKA1840.6        8018138127300Angolo esterno 40x18 BIANCO                00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKA1840GDO.3     8018138176018Angolo esterno 40x18 BIANCO P. (2p)        00010000100001099999940000000029000000000290000001EURPCE0320130301                  28                
ARNKA1850.3        8018138142693Angolo esterno 50x18 BIANCO PURO           00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKA1850.6        8018138104332Angolo esterno 50x18 BIANCO                00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKA1850GDO.3     8018138176025Angolo esterno 50x18 BIANCO P. (2p)        00010000100001099999940000000031800000000318000001EURPCE0320130301                  28                
ARNKA2530.3        8018138146738Angolo esterno 30x25 BIANCO PURO           00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKA2530.6        8018138104363Angolo esterno 30x25 BIANCO                00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKA2540.3        8018138142679Angolo esterno 40x25 BIANCO PURO           00020000200002099999940000000018800000000188000001EURPCE0320130301                  28                
ARNKA2540.6        8018138104394Angolo esterno 40x25 BIANCO                00020000200002099999940000000018800000000188000001EURPCE0320130301                  28                
ARNKA2540GDO.3     8018138179699Angolo esterno 40x25 BIANCO P. (2p)        00010000100001099999940000000037600000000376000001EURPCE0320130301                  28                
ARNKA3030.3        8018138166910Angolo esterno 30x32 BIANCO PURO           00020000200002099999940000000018600000000186000001EURPCE0320130301                  28                
ARNKA3030.6        8018138104424Angolo esterno 30x32 BIANCO                00020000200002099999940000000018600000000186000001EURPCE0320130301                  28                
ARNKA40100.1       8018138124521Angolo esterno 100x40 GRIGIO               00008000080000899999940000000065000000000650000001EURPCE0320130301                  31                
ARNKA40100.3       8018138142747Angolo esterno 100x40 BIANCO PURO          00004000040000499999940000000065000000000650000001EURPCE0320130301                  31                
ARNKA40100.6       8018138124538Angolo esterno 100x40 BIANCO               00004000040000499999940000000065000000000650000001EURPCE0320130301                  31                
ARNKA40120.1       8018138124545Angolo esterno 120x40 GRIGIO               00006000060000699999940000000075500000000755000001EURPCE0320130301                  31                
ARNKA40120.3       8018138142761Angolo esterno 120x40 BIANCO PURO          00004000040000499999940000000075500000000755000001EURPCE0320130301                  31                
ARNKA40120.6       8018138124552Angolo esterno 120x40 BIANCO               00004000040000499999940000000075500000000755000001EURPCE0320130301                  31                
ARNKA4040.3        8018138142686Angolo esterno 40x40 BIANCO PURO           00020000200002099999940000000026600000000266000001EURPCE0320130301                  28                
ARNKA4040.6        8018138124569Angolo esterno 40x40 BIANCO                00020000200002099999940000000026600000000266000001EURPCE0320130301                  28                
ARNKA4060.1        8018138124576Angolo esterno 60x40 GRIGIO                00012000120001299999940000000044000000000440000001EURPCE0320130301                  31                
ARNKA4060.3        8018138142709Angolo esterno 60x40 BIANCO PURO           00008000080000899999940000000044000000000440000001EURPCE0320130301                  31                
ARNKA4060.6        8018138124583Angolo esterno 60x40 BIANCO                00008000080000899999940000000044000000000440000001EURPCE0320130301                  31                
ARNKA4080.1        8018138124590Angolo esterno 80x40 GRIGIO                00008000080000899999940000000050500000000505000001EURPCE0320130301                  31                
ARNKA4080.3        8018138142723Angolo esterno 80x40 BIANCO PURO           00008000080000899999940000000050500000000505000001EURPCE0320130301                  31                
ARNKA4080.6        8018138124606Angolo esterno 80x40 BIANCO                00008000080000899999940000000050500000000505000001EURPCE0320130301                  31                
ARNKA60100.1       8018138124613Angolo esterno 100x60 GRIGIO               00008000080000899999940000000082000000000820000001EURPCE0320130301                  31                
ARNKA60100.3       8018138142754Angolo esterno 100x60 BIANCO PURO          00004000040000499999940000000082000000000820000001EURPCE0320130301                  31                
ARNKA60100.6       8018138124620Angolo esterno 100x60 BIANCO               00004000040000499999940000000082000000000820000001EURPCE0320130301                  31                
ARNKA60120.1       8018138124637Angolo esterno 120x60 GRIGIO               00004000040000499999940000000090000000000900000001EURPCE0320130301                  31                
ARNKA60120.3       8018138142778Angolo esterno 120x60 BIANCO PURO          00004000040000499999940000000090000000000900000001EURPCE0320130301                  31                
ARNKA60120.6       8018138124644Angolo esterno 120x60 BIANCO               00004000040000499999940000000090000000000900000001EURPCE0320130301                  31                
ARNKA60150.1       8018138124651Angolo esterno 150x60 GRIGIO               00004000040000499999940000000156000000001560000001EURPCE0320130301                  31                
ARNKA60150.3       8018138142785Angolo esterno 150x60 BIANCO PURO          00004000040000499999940000000156000000001560000001EURPCE0320130301                  31                
ARNKA60150.6       8018138124668Angolo esterno 150x60 BIANCO               00004000040000499999940000000156000000001560000001EURPCE0320130301                  31                
ARNKA60200.1       8018138124675Angolo esterno 200x60 GRIGIO               00004000010000199999940000000203000000002030000001EURPCE0320130301                  31                
ARNKA60200.3       8018138146790Angolo esterno 200x60 BIANCO PURO          00004000010000199999940000000203000000002030000001EURPCE0320130301                  31                
ARNKA60200.6       8018138124682Angolo esterno 200x60 BIANCO               00004000010000199999940000000203000000002030000001EURPCE0320130301                  31                
ARNKA60250.3       8018138176520Angolo esterno 250x60 BIANCO PURO          00006000010000199999940000000279000000002790000001EURPCE0320130301                  31                
ARNKA60250.6       8018138129083Angolo esterno 250x60 BIANCO               00006000010000199999940000000279000000002790000001EURPCE0320130301                  31                
ARNKA6060.1        8018138124699Angolo esterno 60x60 GRIGIO                00008000080000899999940000000058000000000580000001EURPCE0320130301                  31                
ARNKA6060.3        8018138142716Angolo esterno 60x60 BIANCO PURO           00004000040000499999940000000058000000000580000001EURPCE0320130301                  31                
ARNKA6060.6        8018138124705Angolo esterno 60x60 BIANCO                00004000040000499999940000000058000000000580000001EURPCE0320130301                  31                
ARNKA6080.1        8018138124712Angolo esterno 80x60 GRIGIO                00008000080000899999940000000078000000000780000001EURPCE0320130301                  31                
ARNKA6080.3        8018138142730Angolo esterno 80x60 BIANCO PURO           00004000040000499999940000000078000000000780000001EURPCE0320130301                  31                
ARNKA6080.6        8018138124729Angolo esterno 80x60 BIANCO                00004000040000499999940000000078000000000780000001EURPCE0320130301                  31                
ARNKA80100.3       8018138176537Angolo esterno 100x80 BIANCO PURO          00006000010000199999940000000139000000001390000001EURPCE0320130301                  31                
ARNKA80100.6       8018138801361Angolo esterno 100x80 BIANCO               00006000010000199999940000000139000000001390000001EURPCE0320130301                  31                
ARNKA80120.3       8018138176544Angolo esterno 120x80 BIANCO PURO          00006000010000199999940000000159000000001590000001EURPCE0320130301                  31                
ARNKA80120.6       8018138801309Angolo esterno 120x80 BIANCO               00006000010000199999940000000159000000001590000001EURPCE0320130301                  31                
ARNKA80150.1       8018138124736Angolo esterno 150x80 GRIGIO               00004000010000199999940000000231000000002310000001EURPCE0320130301                  31                
ARNKA80150.3       8018138176551Angolo esterno 150x80 BIANCO PURO          00004000010000199999940000000231000000002310000001EURPCE0320130301                  31                
ARNKA80150.6       8018138124743Angolo esterno 150x80 BIANCO               00004000010000199999940000000231000000002310000001EURPCE0320130301                  31                
ARNKA80200.1       8018138124750Angolo esterno 200x80 GRIGIO               00004000010000199999940000000265000000002650000001EURPCE0320130301                  31                
ARNKA80200.3       8018138176568Angolo esterno 200x80 BIANCO PURO          00004000010000199999940000000265000000002650000001EURPCE0320130301                  31                
ARNKA80200.6       8018138124767Angolo esterno 200x80 BIANCO               00004000010000199999940000000265000000002650000001EURPCE0320130301                  31                
ARNKB72.3          8018138179804Canale battiscopa 70x20/3 BIANCO P.        00024000240002499999940000000094000000000940000001EURLM 0320130301                  11                
ARNKB72.5          8018138179798Canale battiscopa 70x20/3 MARRONE          00024000240002499999940000000102500000001025000001EURLM 0320130301                  11                
ARNKB72.AL         8018138184884Canale battiscopa 70x20 ALLUMINIO          00024000240002499999940000000118000000001180000001EURLM 0320130301                  10                
ARNKB72.CL         8018138184846Canale battiscopa 70x20 CILIEGIO           00024000240002499999940000000105000000001050000001EURLM 0320130301                  10                
ARNKB72.FR         8018138188363Coperchio battiscopa 70 FRASSINO           00024000240002499999940000000105000000001050000001EURLM 0320130301                  10                
ARNKB72.WG         8018138188370Coperchio battiscopa 70 WENGE'             00024000240002499999940000000105000000001050000001EURLM 0320130301                  10                
ARNKC45            8018138130065Minibase adesiva x cavi diam. 4-5,5        00090000900009099999940000000025000000000250000001EURPCE0320130301                  21                
ARNKC57            8018138130072Minibase adesiva x cavi diam. 5-7,5        00060000600006099999940000000029000000000290000001EURPCE0320130301                  21                
ARNKC72.3          8018138179040Canale cornice 70x20/3 BIANCO PURO         00024000240002499999940000000094000000000940000001EURLM 0320130301                  11                
ARNKC72.5          8018138131222Canale cornice 70x20/3 MARRONE             00024000240002499999940000000102500000001025000001EURLM 0320130301                  11                
ARNKC72.6          8018138131239Canale cornice 70x20/3 BIANCO              00030000300003099999940000000094000000000940000001EURLM 0320130301                  11                
ARNKC81            8018138130089Minibase adesiva x cavi diam. 7-9,5        00045000450004599999940000000032500000000325000001EURPCE0320130301                  21                
ARNKC91            8018138130096Minibase adesiva x cavi diam. 9-11         00035000350003599999940000000037500000000375000001EURPCE0320130301                  21                
ARNKCF100-53.3     8018138143317Mostrina 100mm BIANCO PURO                 00010000100001099999940000000038000000000380000001EURPCE0320130301                  39                
ARNKCF100-53.6     8018138124804Mostrina 100mm BIANCO                      00010000100001099999940000000038000000000380000001EURPCE0320130301                  39                
ARNKCF120-05.6     8018138124811Mostrina x 605 L120 BIANCO                 00010000020000299999940000000043000000000430000001EURPCE0320130301                  39                
ARNKCF120-53.3     8018138143324Mostrina 120mm BIANCO PURO                 00010000100001099999940000000043000000000430000001EURPCE0320130301                  39                
ARNKCF120-53.6     8018138124835Mostrina 120mm BIANCO                      00010000100001099999940000000043000000000430000001EURPCE0320130301                  39                
ARNKCF120-D1.3     8018138179484Mostrina 120mm BIANCO PURO                 00010000020000299999940000000030000000000300000001EURPCE0320130301                  39                
ARNKCF150-05.6     8018138124842Mostrina x 605 L150 BIANCO                 00010000020000299999940000000048000000000480000001EURPCE0320130301                  39                
ARNKCF150-53.3     8018138147018Mostrina 150mm BIANCO PURO                 00050000020000299999940000000048000000000480000001EURPCE0320130301                  39                
ARNKCF150-53.6     8018138124866Mostrina 150mm BIANCO                      00050000020000299999940000000048000000000480000001EURPCE0320130301                  39                
ARNKCF150-D1.3     8018138177374Mostrina 150mm BIANCO PURO                 00010000020000299999940000000035500000000355000001EURPCE0320130301                  39                
ARNKCF200-53.3     8018138176575Mostrina 200mm BIANCO PURO                 00036000020000299999940000000058000000000580000001EURPCE0320130301                  39                
ARNKCF200-53.6     8018138124873Mostrina 200mm BIANCO                      00036000020000299999940000000058000000000580000001EURPCE0320130301                  39                
ARNKCF80-53R.3     8018138176582Mostrina 80mm BIANCO PURO                  00010000100001099999940000000035000000000350000001EURPCE0320130301                  39                
ARNKCF80-53R.6     8018138135442Mostrina 80mm BIANCO                       00010000100001099999940000000035000000000350000001EURPCE0320130301                  39                
ARNKD101.3         8018138130140Minic.adesivo 17x17 BIANC.PURO 1,5m        00023000230002399999940000000036500000000365000001EURLM 0320130301                  21                
ARNKD51.3          8018138130102Minic.adesivo 10x5 BIANCO PURO 1,5m        00135001350013599999940000000020000000000200000001EURLM 0320130301                  21                
ARNKD71.3          8018138130119Minic.adesivo 13x7 BIANCO PURO 1,5m        00075000750007599999940000000022500000000225000001EURLM 0320130301                  21                
ARNKD86.3          8018138130126Minic.adesivo 10x10 BIANC.PURO 1,5m        00060000600006099999940000000029000000000290000001EURLM 0320130301                  21                
ARNKD96.3          8018138130133Minic.adesivo 13x13 BIANC.PURO 1,5m        00036000360003699999940000000031500000000315000001EURLM 0320130301                  21                
ARNKDP60250        8018138133509Distanziatore da pavimento L 60/250        00010000100001099999940000000019000000000190000001EURPCE0320130301                  36                
ARNKDU1022.3       8018138166927Minicanale 21x10 BIANCO PURO               00128001280012899999940000000015000000000150000001EURLM 0320130301                  25                
ARNKDU1030.3       8018138159288Minicanale 30x10 BIANCO PURO               00092000920009299999940000000020500000000205000001EURLM 0320130301                  25                
ARNKDU1818.3       8018138166934Minicanale 18x18 BIANCO PURO               00072000720007299999940000000018500000000185000001EURLM 0320130301                  25                
ARNKDU1830.3       8018138166941Minicanale 30x18 BIANCO PURO               00064000640006499999940000000023000000000230000001EURLM 0320130301                  25                
ARNKDU1831.3       8018138166958Minicanale 30x18/2 BIANCO PURO             00064000640006499999940000000034000000000340000001EURLM 0320130301                  25                
ARNKDU1851.3       8018138166965Minicanale 50x18/2 BIANCO PURO             00040000400004099999940000000047000000000470000001EURLM 0320130301                  25                
ARNKDU1852.3       8018138166972Minicanale 50x18/3 BIANCO PURO             00040000400004099999940000000048000000000480000001EURLM 0320130301                  25                
ARNKE100.3         8018138143409Terminale 100x60-100x40 BIANCO PURO        00010000100001099999940000000034000000000340000001EURPCE0320130301                  31                
ARNKE100.6         8018138140750Terminale 100x60-100x40 BIANCO             00010000100001099999940000000034000000000340000001EURPCE0320130301                  31                
ARNKE1010.3        8018138170450Terminale 10x10 BIANCO PURO                00050000500005099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKE1015.3        8018138181579Terminale 15x10 BIANCO (2p)                00020000200002099999940000000015200000000152000001EURPCE0320130301                  21                
ARNKE1015.CL       8018138169706Terminale 15x10 CILIEGIO (2p)              00020000200002099999940000000016700000000167000001EURPCE0320130301                  22                
ARNKE1015.FG       8018138169690Terminale 15x10 FAGGIO (2p)                00020000200002099999940000000016700000000167000001EURPCE0320130301                  22                
ARNKE1022.3        8018138143447Terminale 21x10 BIANCO PURO                00040000400004099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKE1022.5        8018138104493Terminale 21x10 MARRONE                    00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKE1022.52       8018138176032Terminale 21x10 LEGNO SCURO                00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKE1022.53       8018138176049Terminale 21x10 LEGNO CHIARO               00010000100001099999940000000006500000000065000001EURPCE0320130301                  28                
ARNKE1022.6        8018138104509Terminale 21x10 BIANCO                     00040000400004099999940000000005900000000059000001EURPCE0320130301                  28                
ARNKE1022GDO.3     8018138176056Terminale 21x10 BIANCO PURO (2p)           00020000200002099999940000000012000000000120000001EURPCE0320130301                  28                
ARNKE1030.3        8018138143454Terminale 30x10 BIANCO PURO                00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKE1030.6        8018138104516Terminale 30x10 BIANCO                     00020000200002099999940000000007900000000079000001EURPCE0320130301                  28                
ARNKE1030GDO.3     8018138176063Terminale 30x10 BIANCO PURO (2p)           00010000100001099999940000000015800000000158000001EURPCE0320130301                  28                
ARNKE120.3         8018138143416Terminale 120x60-120x40 BIANCO PURO        00010000100001099999940000000037500000000375000001EURPCE0320130301                  31                
ARNKE120.6         8018138140774Terminale 120x60-120x40 BIANCO             00010000100001099999940000000037500000000375000001EURPCE0320130301                  31                
ARNKE150.3         8018138143423Terminale 150x80-150x60 BIANCO PURO        00005000050000599999940000000052000000000520000001EURPCE0320130301                  31                
ARNKE150.6         8018138140798Terminale 150x80-150x60 BIANCO             00005000050000599999940000000052000000000520000001EURPCE0320130301                  31                
ARNKE1515.3        8018138170467Terminale 15x15 BIANCO PURO                00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKE1515GDO.3     8018138179569Terminale 15x15 BIANCO PURO (2p)           00020000200002099999940000000018100000000181000001EURPCE0320130301                  28                
ARNKE1818.3        8018138143430Terminale 18x18 BIANCO PURO                00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKE1818.6        8018138104554Terminale 18x18 BIANCO                     00040000400004099999940000000009000000000090000001EURPCE0320130301                  28                
ARNKE1825.3        8018138166989Terminale 25x18 BIANCO PURO                00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKE1825.6        8018138165500Terminale 25x18 BIANCO                     00040000400004099999940000000009500000000095000001EURPCE0320130301                  28                
ARNKE1825GDO.3     8018138176070Terminale 25x18 BIANCO PURO (2p)           00020000200002099999940000000018900000000189000001EURPCE0320130301                  28                
ARNKE1830.3        8018138143461Terminale 30x18 BIANCO PURO                00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKE1830.5        8018138104585Terminale 30x18 MARRONE                    00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKE1830.52       8018138176087Terminale 30x18 LEGNO SCURO                00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKE1830.53       8018138176094Terminale 30x18 LEGNO CHIARO               00005000050000599999940000000010300000000103000001EURPCE0320130301                  28                
ARNKE1830.6        8018138104592Terminale 30x18 BIANCO                     00040000400004099999940000000010000000000100000001EURPCE0320130301                  28                
ARNKE1830GDO.3     8018138179644Terminale 30x18 BIANCO PURO (2p)           00020000200002099999940000000020000000000200000001EURPCE0320130301                  28                
ARNKE1840.3        8018138145489Terminale 40x18 BIANCO PURO                00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKE1840.6        8018138127317Terminale 40x18 BIANCO                     00020000200002099999940000000014200000000142000001EURPCE0320130301                  28                
ARNKE1840GDO.3     8018138176100Terminale 40x18 BIANCO PURO (2p)           00010000100001099999940000000029000000000290000001EURPCE0320130301                  28                
ARNKE1850.3        8018138143492Terminale 50x18 BIANCO PURO                00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKE1850.6        8018138104622Terminale 50x18 BIANCO                     00020000200002099999940000000016000000000160000001EURPCE0320130301                  28                
ARNKE1850GDO.3     8018138176117Terminale 50x18 BIANCO PURO (2p)           00010000100001099999940000000031800000000318000001EURPCE0320130301                  28                
ARNKE200.3         8018138146776Terminale 200x80-200x60 BIANCO PURO        00005000050000599999940000000079000000000790000001EURPCE0320130301                  31                
ARNKE200.6         8018138140811Terminale 200x80-200x60 BIANCO             00005000050000599999940000000079000000000790000001EURPCE0320130301                  31                
ARNKE2530.3        8018138146714Terminale 30x25 BIANCO PURO                00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKE2530.6        8018138104639Terminale 30x25 BIANCO                     00020000200002099999940000000018500000000185000001EURPCE0320130301                  28                
ARNKE2540.3        8018138143478Terminale 40x25 BIANCO PURO                00020000200002099999940000000018800000000188000001EURPCE0320130301                  28                
ARNKE2540.6        8018138104660Terminale 40x25 BIANCO                     00020000200002099999940000000018800000000188000001EURPCE0320130301                  28                
ARNKE2540GDO.3     8018138179729Terminale 40x25 BIANCO PURO (2p)           00010000100001099999940000000037600000000376000001EURPCE0320130301                  28                
ARNKE3030.3        8018138166996Terminale 30x32 BIANCO PURO                00020000200002099999940000000018600000000186000001EURPCE0320130301                  28                
ARNKE3030.6        8018138104691Terminale 30x32 BIANCO                     00020000200002099999940000000018600000000186000001EURPCE0320130301                  28                
ARNKE40100.1       8018138124897Terminale 100x40 GRIGIO                    00006000020000299999940000000035000000000350000001EURPCE0320130301                  31                
ARNKE40120.1       8018138124910Terminale 120x40 GRIGIO                    00004000020000299999940000000040000000000400000001EURPCE0320130301                  31                
ARNKE4040.3        8018138143485Terminale 40x40 BIANCO PURO                00020000200002099999940000000020700000000207000001EURPCE0320130301                  28                
ARNKE4040.6        8018138124934Terminale 40x40 BIANCO                     00020000200002099999940000000020700000000207000001EURPCE0320130301                  28                
ARNKE4060.1        8018138124941Terminale 60x40 GRIGIO                     00010000020000299999940000000027000000000270000001EURPCE0320130301                  31                
ARNKE4060.3        8018138150773Terminale 60x40 BIANCO PURO                00010000100001099999940000000022000000000220000001EURPCE0320130301                  31                
ARNKE4060.6        8018138124958Terminale 60x40 BIANCO                     00010000100001099999940000000022000000000220000001EURPCE0320130301                  31                
ARNKE4080.1        8018138124965Terminale 80x40 GRIGIO                     00008000020000299999940000000029000000000290000001EURPCE0320130301                  31                
ARNKE60.3          8018138143386Terminale 60x60-60x40 BIANCO PURO          00010000100001099999940000000023500000000235000001EURPCE0320130301                  31                
ARNKE60.6          8018138140712Terminale 60x60-60x40 BIANCO               00010000100001099999940000000023500000000235000001EURPCE0320130301                  31                
ARNKE60100.1       8018138124989Terminale 100x60 GRIGIO                    00006000020000299999940000000035500000000355000001EURPCE0320130301                  31                
ARNKE60120.1       8018138125009Terminale 120x60 GRIGIO                    00004000020000299999940000000041000000000410000001EURPCE0320130301                  31                
ARNKE60150.1       8018138125023Terminale 150x60 GRIGIO                    00004000010000199999940000000054000000000540000001EURPCE0320130301                  31                
ARNKE60200.1       8018138125047Terminale 200x60 GRIGIO                    00003000010000199999940000000080000000000800000001EURPCE0320130301                  31                
ARNKE60250.3       8018138176599Terminale 250x60 BIANCO PURO               00003000010000199999940000000081000000000810000001EURPCE0320130301                  31                
ARNKE60250.6       8018138129144Terminale 250x60 BIANCO                    00003000010000199999940000000081000000000810000001EURPCE0320130301                  31                
ARNKE6060.1        8018138125061Terminale 60x60 GRIGIO                     00008000020000299999940000000028000000000280000001EURPCE0320130301                  31                
ARNKE6080.1        8018138125085Terminale 80x60 GRIGIO                     00008000020000299999940000000030000000000300000001EURPCE0320130301                  31                
ARNKE80.3          8018138143393Terminale 80x60-80x40 BIANCO PURO          00010000100001099999940000000027000000000270000001EURPCE0320130301                  31                
ARNKE80.6          8018138140736Terminale 80x60-80x40 BIANCO               00010000100001099999940000000027000000000270000001EURPCE0320130301                  31                
ARNKE80100.3       8018138176605Terminale 100x80 BIANCO PURO               00004000040000499999940000000036000000000360000001EURPCE0320130301                  31                
ARNKE80100.6       8018138801378Terminale 100x80 BIANCO                    00004000040000499999940000000036000000000360000001EURPCE0320130301                  31                
ARNKE80120.3       8018138176612Terminale 120x80 BIANCO PURO               00004000040000499999940000000044000000000440000001EURPCE0320130301                  31                
ARNKE80120.6       8018138801293Terminale 120x80 BIANCO                    00004000040000499999940000000044000000000440000001EURPCE0320130301                  31                
ARNKE80150.1       8018138125108Terminale 150x80 GRIGIO                    00003000010000199999940000000089000000000890000001EURPCE0320130301                  31                
ARNKE80200.1       8018138125122Terminale 200x80 GRIGIO                    00003000010000199999940000000099000000000990000001EURPCE0320130301                  31                
ARNKED65           4011126051292Scatola 1 mod. (interasse 60) H60          00020000200002099999940000000055000000000550000001EURPCE0320130301                  39                
ARNKED80           4011126055436Scatola 1 mod. (interasse 60) x BU         00010000100001099999940000000030000000000300000001EURPCE0320130301                  32                
ARNKG55105.3       8018138174496Canale K45 105x55/2 BIANCO PURO            00016000160001699999940000000125000000001250000001EURLM 0320130301                  34                
ARNKG55135-2.3     8018138174502Canale K45 135x55/2 BIANCO PURO            00012000120001299999940000000180000000001800000001EURLM 0320130301                  34                
ARNKG55165-3.3     8018138174519Canale K45 165x55/3 BIANCO PURO            00008000080000899999940000000210000000002100000001EURLM 0320130301                  34                
ARNKG5555.3        8018138174540Canale K45 55x55/2 BIANCO PURO             00016000160001699999940000000084000000000840000001EURLM 0320130301                  34                
ARNKG5585.3        8018138174557Canale K45 85x55/2 BIANCO PURO             00016000160001699999940000000110000000001100000001EURLM 0320130301                  34                
ARNKGA55105.3      8018138174564Angolo esterno 105x55 BIANCO PURO          00005000050000599999940000000078000000000780000001EURPCE0320130301                  34                
ARNKGA55135.3      8018138174571Angolo esterno 135x55 BIANCO PURO          00005000050000599999940000000086000000000860000001EURPCE0320130301                  34                
ARNKGA55165.3      8018138174588Angolo esterno 165x55 BIANCO PURO          00004000040000499999940000000087000000000870000001EURPCE0320130301                  34                
ARNKGA5585.3       8018138174618Angolo esterno 85x55 BIANCO PURO           00005000050000599999940000000059000000000590000001EURPCE0320130301                  34                
ARNKGE55105.3      8018138174625Terminale 105x55 BIANCO PURO               00005000050000599999940000000084000000000840000001EURPCE0320130301                  34                
ARNKGE55135.3      8018138174632Terminale 135x55 BIANCO PURO               00005000050000599999940000000087000000000870000001EURPCE0320130301                  34                
ARNKGE55165.3      8018138174649Terminale 165x55 BIANCO PURO               00005000050000599999940000000122000000001220000001EURPCE0320130301                  34                
ARNKGE5555.3       8018138179057Terminale 55x55 BIANCO PURO                00005000050000599999940000000034000000000340000001EURPCE0320130301                  34                
ARNKGE5585.3       8018138174670Terminale 85x55 BIANCO PURO                00005000050000599999940000000038000000000380000001EURPCE0320130301                  34                
ARNKGI55105.3      8018138174687Angolo interno 105x55 BIANCO PURO          00005000050000599999940000000075000000000750000001EURPCE0320130301                  34                
ARNKGI55135.3      8018138174694Angolo interno 135x55 BIANCO PURO          00005000050000599999940000000086000000000860000001EURPCE0320130301                  34                
ARNKGI55165.3      8018138174700Angolo interno 165x55 BIANCO PURO          00004000040000499999940000000087000000000870000001EURPCE0320130301                  34                
ARNKGI5585.3       8018138174731Angolo interno 85x55 BIANCO PURO           00005000050000599999940000000058000000000580000001EURPCE0320130301                  34                
ARNKGT55105.3      8018138174748Deviazione a T 105x55 BIANCO PURO          00004000040000499999940000000077000000000770000001EURPCE0320130301                  34                
ARNKGT55135.3      8018138174755Deviazione a T 135x55 BIANCO PURO          00004000040000499999940000000089000000000890000001EURPCE0320130301                  34                
ARNKGT55165.3      8018138174762Deviazione a T 165x55 BIANCO PURO          00002000020000299999940000000090000000000900000001EURPCE0320130301                  34                
ARNKGT5585.3       8018138174793Deviazione a T 85x55 BIANCO PURO           00004000040000499999940000000060000000000600000001EURPCE0320130301                  34                
