LISTINO METEL       BTI109918601552014  2014010120140616BTICINO LIST.2014RR Agg.Giu14                                        020                                                 
LEG31BJC200G       8009561240209P31-Curva piana 45? base 200x75 gp         00002000020000299999930000033642800000336428000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMC600G       8009561219335P31-Curva in salita 90? base 600x75 gp     000010000100001999999A0000073023600000730236000100EURPCE0620140101FC                LG2-101-3-16      
LEG31BNC400G       8009561228450P31-Curva in salita 45? base 400x75 gp     00001000010000199999930000053032100000530321000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BNC600G       8009561219571P31-Curva in salita 45? base 600x75 gp     000010000100001999999A0000073023600000730236000100EURPCE0620140101FC                LG2-101-3-16      
LEG31BMD500G       8009561296985P31-Curva in salita 90? base 500x100 gp    00001000010000199999930000066829100000668291000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMD400G       8009561251281P31-Curva in salita 90? base 400x100 gp    00001000010000199999930000054627500000546275000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BNB300G       8009561240551P31-Curva in salita 45? base 300x50 gp     00002000020000299999930000044583900000445839000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BNB600G       8009561219953P31-Curva in salita 45? base 600x50 gp     000010000100001999999A0000069363800000693638000100EURPCE0620140101FC                LG2-101-3-16      
LEG31BQC500G       8009561219656P31-Curva in discesa 45? base 500x75 gp    00001000010000199999930000062532400000625324000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMB100G       8009561226951P31-Curva in salita 90? base 100x50 gp     00004000040000499999930000025255300000252553000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BID150G       8009561251984P31-Curva piana 90? base 150x100 gp        00001000010000199999930000027783000000277830000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJB200G       8009561240261P31-Curva piana 45? base 200x50 gp         00002000020000299999930000032757700000327577000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BNC150G       8009561222137P31-Curva in salita 45? base 150x75 gp     00002000020000299999930000030660500000306605000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJD300G       8009561251779P31-Curva piana 45? base 300x100 gp        00001000010000199999930000047155400000471554000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BIB100G       8009561226890P31-Curva piana 90? base 100x50 gp         00004000040000499999930000020409200000204092000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BEC200G       8009561227897P31-Curva in salita 30? base 200x75 gp     00002000020000299999930000035413000000354130000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BIB050G       8009561227118P31-Curva piana 90? base 50x50 gp          00004000040000499999930000017426900000174269000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BIC400G       8009561222427P31-Curva piana 90? base 400x75 gp         00001000010000199999930000057965700000579657000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJB050G       8009561227132P31-Curva piana 45? base 50x50 gp          00004000040000499999930000017551800000175518000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BID100G       8009561252011P31-Curva piana 90? base 100x100 gp        00001000010000199999930000021714100000217141000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJB150G       8009561228016P31-Curva piana 45? base 150x50 gp         00002000020000299999930000026187400000261874000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BID200G       8009561251953P31-Curva piana 90? base 200x100 gp        00001000010000199999930000034574700000345747000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJB100G       8009561227057P31-Curva piana 45? base 100x50 gp         00004000040000499999930000020555900000205559000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJD500G       8009561296756P31-Curva piana 45? base 500x100 gp        00001000010000199999930000071572100000715721000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BLC150G       8009561227934P31-Curva piana 30? base 150x75 gp         00002000020000299999930000026938400000269384000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BJD400G       8009561251748P31-Curva piana 45? base 400x100 gp        00001000010000199999930000060071300000600713000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BLC200G       8009561227873P31-Curva piana 30? base 200x75 gp         00002000020000299999930000033884000000338840000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMB150G       8009561226852P31-Curva in salita 90? base 150x50 gp     00004000040000499999930000029941800000299418000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMB200G       8009561227774P31-Curva in salita 90? base 200x50 gp     00002000020000299999930000034541000000345410000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMB500G       8009561219915P31-Curva in salita 90? base 500x50 gp     00001000010000199999930000060353300000603533000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMB600G       8009561219885P31-Curva in salita 90? base 600x50 gp     000010000100001999999A0000069363800000693638000100EURPCE0620140101FC                LG2-101-3-16      
LEG31BMC100G       8009561223158P31-Curva in salita 90? base 100x75 gp     00004000040000499999930000026094000000260940000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMD100G       8009561251410P31-Curva in salita 90? base 100x100 gp    00001000010000199999930000026839600000268396000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMC075G       8009561221536P31-Curva in salita 90? base 75x75 gp      00004000040000499999930000024509400000245094000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BMC300G       8009561221918P31-Curva in salita 90? base 300x75 gp     00002000020000299999930000045664400000456644000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BND500G       8009561297210P31-Curva in salita 45? base 500x100 gp    00001000010000199999930000066353000000663530000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BNC300G       8009561240377P31-Curva in salita 45? base 300x75 gp     00002000020000299999930000045664900000456649000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BND150G       8009561251229P31-Curva in salita 45? base 150x100 gp    00001000010000199999930000031499200000314992000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BPB050G       8009561227170P31-Curva in discesa 90? base 50x50 gp     00004000040000499999930000021528000000215280000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BPB200G       8009561227798P31-Curva in discesa 90? base 200x50 gp    00002000020000299999930000034541000000345410000100EURPCE0320140101FC                LG2-101-3-16      
LEG31BIA150G       8009561432215P31-Curva piana 90? base 150x25 gp         000010000100001999999A0000022179500000221795000100EURPCE0620140101FC                LG2-101-3-16      
LEG037221          3245060372217VIKING3-Morsetto aut arancione 4mmq std    00050000500005099999930000001179500000011795000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037365          3245060373658MORSETTIERE-Connettore per barra di rame   00100001000010099999930000000504200000005042000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037389          0000000000000BARRA FILETTATA 12X4 1MT                   00010000100001099999930000019752200000197522000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037395          3245060373955MORSETTIERE-Mors. tetrapolare 125A         00001000010000199999930000045329100000453291000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037396          3245060373962MORSETTIERE-Supporto tetrapolare per barre 00005000050000599999930000011780400000117804000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037431          0000000000000MORSETTIERE-Mors. tetrapolare 160A         00001000010000199999930000073927000000739270000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037438          0000000000000BARRA FILETTATA 25X4 1MT                   00010000100001099999930000027273200000272732000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037441          0000000000000MORSETTIERE-Barra di rame sez. 63x5mm      00001000010000199999930000179340600001793406000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037442          0000000000000MORSETTIERE-Mors. tetrapolare 250/400A     00001000010000199999930000225364900002253649000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037437          3245060374372MORSETTIERE-Supporto unipolare per barre   00010000100001099999930000008099200000080992000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037398          3245060373986MORSETTIERE-Supporto unipolare per barre   00010000100001099999930000002322000000023220000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037299          3245060372996MORSETTIERE-Etichetta tensione pericolosa  00010000100001099999930000002976500000029765000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037388          0000000000000BARRA FILETTATA 12X2 1MT                   00010000100001099999930000015049800000150498000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037400          3245060374006MORSETTIERE-Mors. tetrapolare 160/250A     00001000010000199999930000108458200001084582000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037436          3245060374365MORSETTIERE-Supporto tetrapolare per barre 00001000010000199999930000028255800000282558000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037440          0000000000000MORSETTIERE-Barra di rame sez. 50x5mm      00001000010000199999930000144795000001447950000100EURPCE0320140101FD.               LG3-102-6-12      
LEG037661          3245060376611STARFIX-Terminale di 0,5 mmq bianco        00480004800048099999930000000090800000000908000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037646          3245060376468STARFIX-Caricatore terminali 0,25?0,34mmq  00010000100001099999930000005213100000052131000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037660          3245060376604STARFIX-Terminale da 0,34mmq               00500005000050099999930000000086500000000865000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037671          3245060376710STARFIX-Terminale di 25 mmq nero           00050000500005099999930000000620300000006203000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037642          0000000000000STARFIX-Ricarica rotolo 0,75 mmq x 300     03000030000300099999930000000084400000000844000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037668          3245060376680STARFIX-Terminale di 6 mmq verde           00250002500025099999930000000240000000002400000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037667          3245060376673STARFIX-Terminale di 4 mmq arancio         00250002500025099999930000000219300000002193000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037677          3245060376772STARFIX-Terminale unitario 35mmq rosso     00050000500005099999930000000806100000008061000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037670          3245060376703STARFIX-Terminale di 16 mmq bianco         00100001000010099999930000000481500000004815000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037644          0000000000000STARFIX-Ricarica rotolo 1,5 mmq x 300      03000030000300099999930000000091800000000918000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037643          0000000000000STARFIX-Ricarica rotolo 1 mmq x 300        03000030000300099999930000000090300000000903000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037647          8012199969763STARFIX-Caricatore terminali 0,5?2,5mmq    00010000100001099999930000005213100000052131000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037641          0000000000000STARFIX-Ricarica rotolo 0,5 mmq x 300      03000030000300099999930000000084400000000844000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037645          0000000000000STARFIX-Ricarica rotolo 2,5 mmq x 250      02500025000250099999930000000104100000001041000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037648          3245060376482STARFIX-Caricatore terminali 4?6mmq        00010000100001099999930000006914000000069140000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037650          3245060376505STARFIX-Terminale da 0,25mmq               00500005000050099999930000000082000000000820000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037663          3245060376635STARFIX-Terminale di 1 mmq rosso           01000010000100099999930000000098100000000981000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037666          3245060376666STARFIX-Terminale di 2,5 mmq grigio        01000010000100099999930000000112100000001121000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037664          3245060376642STARFIX-Terminale di 1,5 mmq nero          01000010000100099999930000000098800000000988000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037662          3245060376628STARFIX-Terminale di 0,75 mmq blu          00480004800048099999930000000090800000000908000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037672          3245060376727STARFIX-Terminale corto di 16 mmq bianco   00100001000010099999930000000473200000004732000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037687          3245060376871STARFIX TERM DP.BLU 0,75                   00500005000050099999930000000136700000001367000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037689          3245060376895STARFIX TERM DP.NERO 1,5                   00500005000050099999930000000148000000001480000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037669          3245060376697STARFIX-Terminale di 10 mmq marron         00100001000010099999930000000375300000003753000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037678          3245060376789STARFIX TERMINALE DI 50 MMQ BLU            00030000300003099999930000001289500000012895000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037688          3245060376888STARFIX TERM DP.ROSSO 1                    00500005000050099999930000000146900000001469000100EURPCE0320140101FD.               LG3-102-8-18      
LEG037690          3245060376901STARFIX TERM DP.GR 2,5                     00500005000050099999930000000168400000001684000100EURPCE0320140101FD.               LG3-102-8-18      
LEG649950          3245066499505CONTAORE-24V C.A.50Hz                      00001000010000199999930000019140500000191405000100EURPCE0320140101FD.               LG3-106-16-38     
LEG649952          3245066499529CONTAORE-220V C.A.50Hz                     00001000010000199999930000019140500000191405000100EURPCE0320140101FD.               LG3-106-16-38     
LEG649953          3245066499536CONTAORE-380V C.A.50Hz                     00001000010000199999930000021312500000213125000100EURPCE0320140101FD.               LG3-106-16-38     
LEG649954          8009561580787CONTAORE-12-36V C.C.                       00001000010000199999930000043982300000439823000100EURPCE0320140101FD.               LG3-106-16-38     
LEG649951          3245066499512CONTAORE-110V C.A.50Hz                     00001000010000199999930000019140500000191405000100EURPCE0320140101FD.               LG3-106-16-38     
LEG649955          3245066499550CONTAORE-Su guida DIN 230V C.A.50Hz        00001000010000199999930000022957500000229575000100EURPCE0320140101FD.               LG3-106-16-38     
LEG032061          3245060320614COLRING-Collare identificazione 2,4x95mm   00100001000010099999930000000168900000001689000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032076          3245060320768COLRING Acc.-Supporto ad innesto           01000010000100099999930000000138000000001380000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032088          3245060320881COLRING Acc.-Pinza per collari             00001000010000199999930000174956400001749564000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032050          0000000000000COLRING-Collare incolore 7,6x720mm         00100001000010099999930000000913800000009138000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032025          3245060320256COLRING-Collare nero 7,6x550mm             00100001000010099999930000000698900000006989000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032015          3245060320157COLRING-Collare nero 3,5x140mm             01000010000100099999930000000097900000000979000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032070          3245060320706COLRING Acc.-Supporto a vite foro 4mm      01000010000100099999930000000138000000001380000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032040          3245060320409COLRING-Collare incolore 3,5x360mm         00100001000010099999930000000187900000001879000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032022          3245060320225COLRING-Collare nero 4,6x180mm             01000010000100099999930000000142700000001427000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032067          3245060320676COLRING Acc.-Supporto adesivo nero         00100001000010099999930000000344900000003449000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032024          3245060320249COLRING-Collare nero 4,6x360mm             00100001000010099999930000000291100000002911000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032028          0000000000000COLRING-Collare nero 12,6x1030mm           00500005000050099999930000001700200000017002000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032027          3245060320270COLRING-Collare nero 9x810mm               00100001000010099999930000001133500000011335000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032063          3245060320638COLRING-Collare identificazione 4,6x180mm  00100001000010099999930000000241200000002412000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032068          3245060320683COLRING Acc-Supp adesivo nero largh20mm max00050000500005099999930000000881200000008812000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032085          3245060320850COLRING Acc.-Targhetta 40x22mm             00100001000010099999930000000327500000003275000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032072          3245060320720COLRING Acc.-Supporto a vite foro 5mm      00100001000010099999930000000250200000002502000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032012          3245060320126COLRING-Collare nero 2,4x 95mm             01000010000100099999930000000059500000000595000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032051          0000000000000COLRING-Collare incolore 12,6x1030mm       00500005000050099999930000001504500000015045000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032030          3245060320300COLRING-Collare incolore 2,4x 95mm         01000010000100099999930000000033200000000332000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032043          3245060320430COLRING-Collare incolore 4,6x280mm         00100001000010099999930000000207000000002070000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032048          3245060320485COLRING-Collare incolore 9x810mm           00100001000010099999930000001003300000010033000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032029          3245060320294COLRING-Collare nero 7,6x360mm             00100001000010099999930000000348300000003483000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032042          3245060320423COLRING-Collare incolore 4,6x180mm         01000010000100099999930000000106500000001065000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032044          3245060320447COLRING-Collare incolore 4,6x360mm         00100001000010099999930000000216000000002160000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032049          3245060320492COLRING-Collare incolore 7,6x360mm         00100001000010099999930000000336800000003368000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032031          3245060320317COLRING-Collare incolore 2,4x140mm         01000010000100099999930000000066300000000663000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032045          3245060320454COLRING-Collare incolore 7,6x550mm         00100001000010099999930000000618700000006187000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032039          3245060320393COLRING-Collare incolore 3,5x280mm         00100001000010099999930000000176200000001762000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032037          3245060320379COLRING-Collare incolore 3,5x140mm         01000010000100099999930000000077500000000775000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032032          3245060320324COLRING-Collare incolore 2,4x180mm         01000010000100099999930000000080300000000803000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032038          3245060320386COLRING-Collare incolore 3,5x180mm         01000010000100099999930000000087300000000873000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032047          3245060320478COLRING-Collare incolore 7,6x180mm         00100001000010099999930000000241200000002412000100EURPCE0320140101FD.               LG3-107-18-40     
LEG032065          3245060320652COLRING Acc.-Supporto adesivo incolore     00100001000010099999930000000414400000004144000100EURPCE0320140101FD.               LG3-107-18-40     
LEGGE06            8009561097513GE PVC-Guidacavo liscio D=6 blu            00100001000010099999930000000566800000005668000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE06N           8009561097520GE PVC-Guidacavo liscio D=6 nero           00100001000010099999930000000566800000005668000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE08            8009561097537GE PVC-Guidacavo liscio D=8 blu            00100001000010099999930000001226300000012263000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE08N           8009561097544GE PVC-Guidacavo liscio D=8 nero           00100001000010099999930000001226300000012263000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE10            8009561097551GE PVC-Guidacavo liscio D=10 blu           00050000500005099999930000001284500000012845000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE10N           8009561097568GE PVC-Guidacavo liscio D=10 nero          00050000500005099999930000001284500000012845000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE12            8009561097582GE PVC-Guidacavo liscio D=12 blu           00050000500005099999930000001376300000013763000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE12N           8009561097599GE PVC-Guidacavo liscio D=12 nero          00050000500005099999930000001376300000013763000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE15            8009561097612GE PVC-Guidacavo liscio D=15 blu           00050000500005099999930000002118800000021188000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE15N           8009561097629GE PVC-Guidacavo liscio D=15 nero          00050000500005099999930000002118800000021188000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE20            8009561097643GE PVC-Guidacavo liscio D=20 blu           00050000500005099999930000003520100000035201000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE20N           8009561097650GE PVC-Guidacavo liscio D=20 nero          00050000500005099999930000003520100000035201000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE27            8009561097674GE PVC-Guidacavo liscio D=27 blu           00025000250002599999930000005514100000055141000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE27N           8009561097681GE PVC-Guidacavo liscio D=27 nero          00025000250002599999930000005514100000055141000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE36            8009561097711GE PVC-Guidacavo liscio D=36 blu           00025000250002599999930000007173600000071736000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE36N           8009561097728GE PVC-Guidacavo liscio D=36 nero          00025000250002599999930000007173600000071736000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE40            8009561097742GE PVC-Guidacavo liscio D=40 blu           00025000250002599999930000009259100000092591000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE40N           8009561097759GE PVC-Guidacavo liscio D=40 nero          00025000250002599999930000009259100000092591000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE47            8009561097773GE PVC-Guidacavo liscio D=47 blu           00025000250002599999930000012261700000122617000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE47N           8009561097780GE PVC-Guidacavo liscio D=47 nero          00025000250002599999930000012261600000122616000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE51            8009561097797GE PVC-Guidacavo liscio D=51 blu           00025000250002599999930000014346800000143468000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE51N           8009561097803GE PVC-Guidacavo liscio D=51 nero          00025000250002599999930000014347200000143472000100EURLM 0320140101FE                LG4-101-2-2       
LEGGE58            8009561097810GE PVC-Guidacavo liscio D=58 blu           00025000250002599999930000016599200000165992000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC06           8009561100190GE PVC-Guidacavo liscio D=6 grigio         00100001000010099999930000000558900000005589000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC08           8009561100206GE PVC-Guidacavo liscio D=8 grigio         00100001000010099999930000001226300000012263000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC10           8009561100213GE PVC-Guidacavo liscio D=10 grigio        00050000500005099999930000001284500000012845000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC12           8009561100220GE PVC-Guidacavo liscio D=12 grigio        00050000500005099999930000001376300000013763000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC15           8009561100237GE PVC-Guidacavo liscio D=15 grigio        00050000500005099999930000002118800000021188000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC20           8009561100244GE PVC-Guidacavo liscio D=20 grigio        00050000500005099999930000003520100000035201000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC27           8009561100251GE PVC-Guidacavo liscio D=27 grigio        00025000250002599999930000005514100000055141000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC36           8009561100275GE PVC-Guidacavo liscio D=36 grigio        00025000250002599999930000007173600000071736000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC40           8009561100282GE PVC-Guidacavo liscio D=40 grigio        00025000250002599999930000009259100000092591000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC47           8009561100299GE PVC-Guidacavo liscio D=47 grigio        00025000250002599999930000012261600000122616000100EURLM 0320140101FE                LG4-101-2-2       
LEGPVC51           8009561100305GE PVC-Guidacavo liscio D=51 grigio        00025000250002599999930000014346800000143468000100EURLM 0320140101FE                LG4-101-2-2       
LEG382918          8009561508262UNIVERSALI-Raccordo plast.PG36 D=36 grigio 00010000100001099999930000006547900000065479000100EURPCE0320140101FE                LG4-101-4-4       
LEG382979          8009561508231UNIVERSALI-Raccordo plast.M40 D=36 grigio  00010000100001099999930000006089800000060898000100EURPCE0320140101FE                LG4-101-4-4       
LEG82901           8009561120693UNIVERSALI-Raccordo plast G1/4' D=10 grigio00075000750007599999930000000887800000008878000100EURPCE0320140101FE                LG4-101-4-4       
LEG82902           8009561120709UNIVERSALI-Raccordo plast G3/8' D=10 grigio00075000750007599999930000000887800000008878000100EURPCE0320140101FE                LG4-101-4-4       
LEG82903           8009561120716UNIVERSALI-Raccordo plast G3/8' D=12 grigio00075000750007599999930000001056900000010569000100EURPCE0320140101FE                LG4-101-4-4       
LEG82904           8009561120723UNIVERSALI-Raccordo plast G1/2' D=12 grigio00075000750007599999930000001056900000010569000100EURPCE0320140101FE                LG4-101-4-4       
LEG82906           8009561120747UNIVERSALI-Raccordo plast G3/4 D=20 grigio 00030000300003099999930000001631700000016317000100EURPCE0320140101FE                LG4-101-4-4       
LEG82907           8009561120754UNIVERSALI-Raccordo plast G1' D=27 grigio  00015000150001599999930000002494100000024941000100EURPCE0320140101FE                LG4-101-4-4       
LEG82908           8009561198371UNIVERSALI-Raccordo plast G1' D=25 grigio  00015000150001599999930000002494100000024941000100EURPCE0320140101FE                LG4-101-4-4       
LEG82909           8009561198401UNIVERSALI-Raccordo plast G1' D=32 grigio  00010000100001099999930000003956300000039563000100EURPCE0320140101FE                LG4-101-4-4       
LEG82910           8009561198432UNIVERSALI-Raccordo plast G1/4' D=40 grigio00010000100001099999930000006154400000061544000100EURPCE0320140101FE                LG4-101-4-4       
LEG82911           8009561120761UNIVERSALI-Raccordo plast PG9 D=10 grigio  00075000750007599999930000000887800000008878000100EURPCE0320140101FE                LG4-101-4-4       
LEG82912           8009561120778UNIVERSALI-Raccordo plast PG11 D=12 grigio 00075000750007599999930000001056900000010569000100EURPCE0320140101FE                LG4-101-4-4       
LEG82913           8009561120785UNIVERSALI-Raccordo plas PG13,5 D=12 grigio00075000750007599999930000001056900000010569000100EURPCE0320140101FE                LG4-101-4-4       
LEG82914           8009561120792UNIVERSALI-Raccordo plas PG13,5 D=15 grigio00030000300003099999930000001166700000011667000100EURPCE0320140101FE                LG4-101-4-4       
LEG82915           8009561120808UNIVERSALI-Raccordo plast PG16 D=15 grigio 00030000300003099999930000001183400000011834000100EURPCE0320140101FE                LG4-101-4-4       
LEG82916           8009561120815UNIVERSALI-Raccordo plast PG21 D=21 grigio 00030000300003099999930000001631700000016317000100EURPCE0320140101FE                LG4-101-4-4       
LEG82917           8009561120822UNIVERSALI-Raccordo plast PG29 D=27 grigio 00015000150001599999930000002494100000024941000100EURPCE0320140101FE                LG4-101-4-4       
LEG82921           8009561120839UNIVERSALI-Raccordo plast M16 D=10 grigio  00075000750007599999930000000997400000009974000100EURPCE0320140101FE                LG4-101-4-4       
LEG82922           8009561120846UNIVERSALI-Raccordo plast M16 D=12 grigio  00075000750007599999930000001183400000011834000100EURPCE0320140101FE                LG4-101-4-4       
LEG82923           8009561120853UNIVERSALI-Raccordo plast M20 D=12 grigio  00075000750007599999930000001183400000011834000100EURPCE0320140101FE                LG4-101-4-4       
LEG82924           8009561120860UNIVERSALI-Raccordo plast M20 D=15 grigio  00030000300003099999930000001310300000013103000100EURPCE0320140101FE                LG4-101-4-4       
LEG82925           8009561120877UNIVERSALI-Raccordo plast M25 D=21 grigio  00030000300003099999930000001843100000018431000100EURPCE0320140101FE                LG4-101-4-4       
LEG82926           8009561120884UNIVERSALI-Raccordo plast M32 D=27 grigio  00015000150001599999930000002789400000027894000100EURPCE0320140101FE                LG4-101-4-4       
LEG82927           8009561198791UNIVERSALI-Raccordo plast M32 D=25 grigio  00015000150001599999930000002536000000025360000100EURPCE0320140101FE                LG4-101-4-4       
LEG82928           8009561198821UNIVERSALI-Raccordo plast M32 D=32 grigio  00010000100001099999930000004023900000040239000100EURPCE0320140101FE                LG4-101-4-4       
LEG82929           8009561198852UNIVERSALI-Raccordo plast M40 D=40 grigio  00010000100001099999930000006272700000062727000100EURPCE0320140101FE                LG4-101-4-4       
LEG82930           8009561198883UNIVERSALI-Raccordo plast M50 D=45 grigio  00008000080000899999930000008174500000081745000100EURPCE0320140101FE                LG4-101-4-4       
